,300,500,550,600
13.2992,951.8143,828.7465,820.6116,838.0811
13.3252,947.6712,861.2566,838.4599,834.5401
13.3512,993.8416,887.3603,804.4389,830.3999
13.3772,953.6415,844.8435,805.202,819.7687
13.4032,918.4973,866.6103,835.5062,831.4039
13.4292,960.2471,848.1067,870.1589,822.1241
13.4552,932.6963,859.2133,851.7457,836.0903
13.4812,918.0449,845.1836,793.0825,831.251
13.5072,926.6234,843.2283,807.9874,835.2283
13.5332,920.5426,852.9034,807.483,805.8694
13.5592,942.2664,871.6567,821.3445,818.3916
13.5852,926.7254,881,858.9674,812.6633
13.6112,909,867.3424,864.9296,809.5536
13.6372,940.1547,885.8786,850.226,806.8368
13.6632,952.1876,878.3608,857.221,815.4229
13.6892,944.6359,839.5408,871.3193,839.1848
13.7152,942.4189,873.9755,838.3901,839.7022
13.7412,968.2746,860.3066,852.5543,863.273
13.7672,988.5613,836.4704,879.0711,848.9565
13.7932,962.5355,839.2812,860.011,855.286
13.8192,928.0059,815.6745,831.8402,869.3816
13.8452,940.3859,851.4924,863.6459,825.6416
13.8712,954.7411,891.3058,871.7054,801.651
13.8972,961.2797,845.556,833.7902,820.8613
13.9232,954.4359,858.6818,811.955,818.4394
13.9492,947.8034,860.8354,847.6891,824.115
13.9752,942.6521,838.3951,850.2932,863.4204
14.0012,945.2384,881.3272,801.8318,854.0419
14.0272,920.4855,893.0759,826.254,837.9372
14.0532,886.1539,881.1491,841.0534,825.8728
14.0792,957.662,868.4422,833.8642,806.2659
14.1052,985.4698,872.0259,838.2709,843.317
14.1312,949.2671,852.3482,855.8506,855.2176
14.1572,927.4914,817.5254,842.9942,794.5818
14.1832,889.5724,817.6226,829.0684,758.7355
14.2092,906.1626,837.5257,857.6672,809.8442
14.2352,960.7505,860.3827,794.1987,834.7907
14.2612,966.7718,850.936,789.6913,811.2266
14.2872,930.7167,833.6372,804.1859,808.7602
14.3132,929.4718,821.7073,781.9435,867.763
14.3392,919.8884,821.2355,771.0082,878.2521
14.3652,932.0025,853.3389,824.6602,882.9722
14.3912,921.7993,835.4762,840.3231,903.4386
14.4172,910.8075,835.3962,839.7472,818.0227
14.4432,910.5493,852.6639,839.4263,832.1146
14.4692,911.6124,836.1991,847.0535,804.9057
14.4952,896.086,837.9587,863.9045,791.2198
14.5212,917.8293,874.6655,889.8972,811.1794
14.5472,930.1088,833.8158,859.2303,819.0167
14.5732,944.8786,882.3125,809.5808,850.2978
14.5992,950.5248,875.4998,824.7812,850.4937
14.6252,892.3781,816.6368,841.1093,827.0796
14.6512,926.1213,826.2542,889.7591,832.8938
14.6772,965.0952,843.3538,829.786,789.9916
14.7032,909.1219,861.795,824.7147,809.7553
14.7292,943.6777,889.9047,818.6777,797.3113
14.7552,974.3679,845.9736,859.8683,791.7636
14.7812,911.9085,848.5035,863.9525,831.5141
14.8072,906.7668,893.9595,935.1926,817.63
14.8332,938.5681,848.1545,856.3507,833.9346
14.8592,976.5313,853.3359,813.6249,843.0626
14.8852,951.0196,878.1924,845.1728,804.8267
14.9112,912.0177,873.7481,869.1323,832.476
14.9372,870.1152,880.4919,851.2952,886.7205
14.9632,927.9355,889.4838,859.9838,790.7419
14.9892,948.9186,866.6712,788.3154,785.2205
15.0152,910.17,853.15,840.0199,832.4501
15.0412,910.7238,844.7507,851.3003,808.0029
15.0672,893.3061,851.0031,853.5015,844.6091
15.0932,870.215,809.1046,833.6568,841.4853
15.1192,890.1845,829.8575,859.78,883.5469
15.1452,874.2738,866.2401,813.1062,872.1247
15.1712,909.993,790.7963,818.2915,821.3055
15.1972,947.0987,783.8236,905.3629,832.6737
15.2232,889.9326,836.264,865.219,812.219
15.2492,878.0517,882.7976,903.8321,850.8321
15.2752,896.7297,895.815,833.0244,807.626
15.3012,915.5411,910.6377,823.2174,780.6521
15.3272,943.046,854.9762,851.0119,803.1823
15.3532,907.6718,885.5042,901.7123,834.5922
15.3792,851.1272,889.8382,895.4853,812.3479
15.4052,903.2335,824.4688,860.3621,822.2339
15.4312,915.3361,841.3035,872.8198,823
15.4572,872.9332,791.6863,838.2637,864.2342
15.4832,946.0434,860.4179,867.6302,798.2077
15.5092,850.0093,879.6541,853.0706,784.7247
15.5352,880.5543,831.3533,897.9871,830.9871
15.5612,948.2405,856.5586,848.7725,891.3508
15.5872,918.865,861.8667,834.9331,820.9966
15.6132,871.0177,832.8694,819.4347,775.5855
15.6392,936.8299,831.3874,845.7932,776.7749
15.6652,945.8153,874.6838,836.7721,798.0865
15.6912,988.8318,822.6279,845.5782,837.5616
15.7172,967.7676,869.6478,807.1454,855.6222
15.7432,911.7626,813.5833,796.3857,889.4796
15.7692,931.0927,868.7523,804.7697,865.1101
15.7952,898.8464,906.6831,850.3029,832.5929
15.8212,912.0995,856.8043,850.3389,847.7673
15.8472,908.2553,843.3024,848.535,812.556
15.8732,926.9692,776.5773,831.5761,828.7872
15.8992,916.8044,866.3979,834.9716,832.7665
15.9252,877.8029,866.3766,864.5577,800.7537
15.9512,934.4124,879.2005,887.828,848.2234
15.9772,932.0031,894.0251,873.6175,895.8433
16.0032,932.3272,847.8596,842.6377,874.1424
16.0292,923.7375,853.1289,846.9605,812.8363
16.0552,923.5048,862.6238,876.3955,843.6077
16.0812,926,869.46,861.2291,861.5746
16.1072,911.2983,858.9666,823.6062,863.0095
16.1332,918.4834,830.9333,794.5416,843.2749
16.1592,913.0317,827.1325,811.9365,861.827
16.1852,921.3238,856.5397,888.5721,844.16
16.2112,891.6573,840.8287,881.2573,791.0573
16.2372,907.9747,824.2373,869.6102,773.4746
16.2632,925.304,827.4349,873.1302,824.9154
16.2892,961.7185,832.5928,841.2575,871.9701
16.3152,925.9899,847.9554,846.7329,872.5779
16.3412,908.632,875.5266,856.4736,860.7894
16.3672,937.6736,878.1883,839.6193,853.0168
16.3932,913.1306,862.7315,818.6995,818.1306
16.4192,906.1233,852.6065,849.0909,848.4682
16.4452,913.4502,875.4241,864.7434,873.5078
16.4712,926.0565,873.6501,847.3533,825.2979
16.4972,947.1554,836.9367,869.4129,807.869
16.5232,923.4869,861.2126,854.8064,825.152
16.5492,904.4937,873.0211,821.9975,845.9891
16.5752,913.469,870.5242,864.6622,885.4415
16.6012,918.3581,877.2093,875.297,875.5807
16.6272,950.6585,866.0472,839.1811,833.1208
16.6532,958.6258,886.8769,851.1764,840.1978
16.6792,914.2511,896.1504,850.1014,842.9006
16.7052,902.9208,888.1199,848.5622,825.5192
16.7312,922.0326,886.5699,862.2361,794.924
16.7572,949.1272,858.2668,851.1434,781.707
16.7832,956.8711,834.3597,831.46,789.6917
16.8092,925.9893,871.8149,807.4164,814.8381
16.8352,904.0957,882.1635,837.3426,889.5417
16.8612,896.0974,865.8492,836.0534,880.5057
16.8872,875.5823,873.2941,840.9706,830.1059
16.9132,863.312,878.1807,872.0167,808.1473
16.9392,917.1491,884.321,860.6419,812.8357
16.9652,950.457,863.4307,824.6554,855.9288
16.9912,934.9781,872,858.6253,876.3528
17.0172,940.679,903.7768,892.4684,857.198
17.0432,927.2467,951.4035,917.604,842.3085
17.0692,900.5057,894.1479,850.8354,866.7728
17.0952,927.0056,866.6594,805.467,836.0219
17.1212,968.9356,882.7819,815.9095,820.565
17.1472,927.3013,883.0599,888.3974,864.4722
17.1732,918.5361,861.1963,894.6857,860.4903
17.1992,931.9696,888.2394,825.7485,870.9696
17.2252,936.8111,861.0145,827.416,870.4959
17.2512,978.3808,798.7186,838.0118,910.6714
17.2772,903.1256,814.7909,844.8954,881.4688
17.3032,880.0592,817.1489,846.2863,829.7729
17.3292,899.1432,892.0587,886.7503,804.5566
17.3552,956.5042,836.2638,874.6394,864.2404
17.3812,932.163,861.288,901.7147,842.1848
17.4072,881.1893,914.2379,855.3521,867.1486
17.4332,931.1067,912.6712,830.2422,935.1334
17.4592,917.5488,850.3707,816,903.1466
17.4852,948.4473,855.4372,817.8509,854.7489
17.5112,909.4369,840.5298,836.9472,802.1393
17.5372,872.5099,850.2491,884.7114,865.921
17.5632,872.4909,895.1126,858.3918,890.0587
17.5892,903.1833,891.9952,891.049,860.643
17.6152,928.1243,859.5046,875.3915,871.1967
17.6412,900.4142,886.6509,890.9882,838.3906
17.6672,909.6669,912.4998,905.6351,884.0832
17.6932,965.6611,866.929,815.7799,846.496
17.7192,916.69,851.1062,874.6538,839.4777
17.7452,930.122,857.2721,919.454,850.244
17.7712,954.2689,950.3385,862.7674,899.7342
17.7972,933.1165,903.1421,856.2564,894.0511
17.8232,937.4779,950.9331,867.5087,980.2945
17.8492,899.3464,945.9619,905.2148,1002.0069
17.8752,998.3541,935.071,966.5996,1003.9871
17.9012,997.0328,1037.2964,1026.0171,1077.7714
17.9272,1028.1583,1126.6327,1134.1066,1079
17.9532,1083.9351,1176.2249,1147.6015,1238.0228
17.9792,1143.2311,1271.4775,1331.1396,1367.0469
18.0052,1274.3745,1505.375,1477.8138,1591.9917
18.0312,1506.1618,1664.7052,1559.7866,1447.1527
18.0572,1731.7674,1420.8766,1310.8766,1264.1201
18.0832,1678.6095,1204.3691,1086.1417,1051.6266
18.1092,1385.3557,1067.5445,1001.8947,983.2668
18.1352,1167.1931,894.0227,876.0557,928.8125
18.1612,1031.7973,866.156,863.7688,898.2369
18.1872,941.7953,914.845,951.4474,869.6403
18.2132,924.9481,929.781,949.3026,854.7608
18.2392,902.6343,859.2112,886.3213,858.9824
18.2652,925.1859,887.5459,865.8635,878.5836
18.2912,940.0174,950.9306,922.4349,860.2956
18.3172,915.6044,904.2596,863.8867,895.5934
18.3432,871.6978,935.1918,886.4872,908.8896
18.3692,940.2817,907.9692,878.8996,917.2452
18.3952,932.7619,890.254,864.6638,876.0649
18.4212,922.0741,836.1786,837.6596,847.7262
18.4472,922.5505,828.202,830.2247,839.899
18.4732,893.9175,849.1332,875.9197,845.1226
18.4992,916.7271,855,846.1864,881.7487
18.5252,903.89,874.3826,849.8916,895.9819
18.5512,940.1337,843.4864,891.307,841.8329
18.5772,915.3642,906.1921,905.4513,845.9461
18.6032,892.8428,907.8028,860.1941,864.3043
18.6292,907.6449,914.6449,897.7578,895.526
18.6552,915,868.4178,886.2064,914.6546
18.6812,882.7604,825.1075,870.3141,908.3967
18.7072,897.0692,899.8274,890.2808,943.8856
18.7332,940.9747,912.0236,893.3389,919.037
18.7592,937.6269,913.7484,897.218,902.2495
18.7852,959.6668,892.272,932.0205,892.721
18.8112,975.091,887.4541,923.5465,886
18.8372,994.0453,912.1661,910.2528,889.7585
18.8632,953.598,884.1609,865.996,871.0392
18.8892,943.4431,900.6403,903.5097,895.0009
18.9152,926.9742,910.8905,891.1083,906.4704
18.9412,888.3982,890.6124,888.6169,865.73
18.9672,889.8433,857.467,898.5799,886.2603
18.9932,902.8344,853.8727,859.6559,879.452
19.0192,892.1899,857.0886,860.8354,876.1771
19.0452,902.2404,850.547,862.0418,903.5645
19.0712,899.6638,862.8165,864.6506,898.2577
19.0972,901.9789,885.1254,878.4728,891.1088
19.1232,905.551,904.2763,868.1719,893
19.1492,916.338,904.8971,886.3968,887.4192
19.1752,945.964,900.9846,866.2419,892.9434
19.2012,943.7374,901.075,839.9627,880.1123
19.2272,927.7914,919.0136,880.1481,865.9844
19.2532,911.6468,910.1992,890.1792,862.0996
19.2792,903.7464,886.8166,893.1898,863.6827
19.3052,919.9866,892.5959,901.0437,873.1177
19.3312,922.4253,887.1305,904.4504,880.9599
19.3572,904.572,871.8896,906.3092,895.8812
19.3832,907.7624,892.4199,872.2947,911.4604
19.4092,896.2669,946.0425,864.1625,938.4719
19.4352,920.5808,904.4701,886.3533,898.009
19.4612,947.018,915.9453,895.7875,900.0476
19.4872,890.7828,943.3798,875.7843,917.459
19.5132,941.7377,898,884.7905,914.9466
19.5392,953.904,903.3777,942.982,910.1715
19.5652,926.4296,936.007,954.7535,937.1303
19.5912,958.3227,947.8424,917.4692,924.3842
19.6172,943.8501,908.3686,874.9189,944.714
19.6432,906.7976,949.1306,849.4777,880.3917
19.6692,905.0787,939.6021,875.2356,879.9163
19.6952,941.3296,936.4847,892.0521,916.7112
19.7212,914.9298,930.2347,922.3985,895.1252
19.7472,909.7697,883.1382,897.0188,886.4013
19.7732,939.3074,883.8836,858.2301,935.0396
19.7992,939.5912,910.4054,891.4451,902.7424
19.8252,902.262,873.9722,908.4962,930.2797
19.8512,893.0284,898.3799,911.5633,888.0561
19.8772,920.0171,868.7048,929.0343,874.4924
19.9032,941.1887,866.2704,975.1106,891.3611
19.9292,894.2259,895.9033,881.4517,855.6613
19.9552,928.201,935.4019,887.0182,870.2083
19.9812,924.0508,919.1286,847.692,862.9326
20.0072,923.7782,876.1004,929.5232,951.4183
20.0332,937.6002,880.4995,904.2498,954.2507
20.0592,926.6024,931.1239,923.2393,899.8433
20.0852,956.7507,971.6429,931.4169,951.2099
20.1112,970.8156,935.7491,1024.6715,996.6604
20.1372,1022.1395,971.9121,987.1789,924.7787
20.1632,962.3981,998.2236,962.1023,962.1582
20.1892,956.1222,1143.9013,1015.3255,1050.3373
20.2152,944.4182,1121.5712,1035.8523,1044.5979
20.2412,977.6277,1097.5557,1127.3526,1055.0448
20.2672,1008.8414,1353.1179,1177.9448,1201.2448
20.2932,1066.7599,1457.0708,1382.535,1284.7777
20.3192,1103.3651,1455.3837,1532.3572,1597.5476
20.3452,1112.0044,1410.2133,1505.4723,1604.3196
20.3712,1165.704,1322.394,1469.62,1564.882
20.3972,1112.808,1350.9599,1296.2541,1372.5138
20.4232,1138.1904,1223.5614,1271.0537,1291.8055
20.4492,1148.1907,1156.4271,1180.3934,1143.9438
20.4752,1252.9882,1105.9135,1126.8755,1138.9148
20.5012,1244.0775,1040.5684,1032.8181,1074.5597
20.5272,1322.5173,1109.6841,1105.61,1056.3336
20.5532,1452.2438,1116.8293,1182.7804,1146.3536
20.5792,1455.0384,1193.9297,1189.8081,1241.3157
20.6052,1428.3524,1337.8515,1296.5903,1402.9821
20.6312,1321.521,1477.7906,1404.6537,1534.3728
20.6572,1482.7338,1631.3693,1718.5121,1821.5564
20.6832,1518.9702,1925.0332,1988.0779,2184.0369
20.7092,1675.1297,2307.42,2379.2761,2664.445
20.7352,2014.7516,2859.7984,3139.3765,3475.6767
20.7612,2261.4432,3625.2716,3995.0761,4626.0299
20.7872,2914.2749,4965.5498,5723.7966,6762.1032
20.8132,3739.4727,7012.8515,8245.7994,8764.1739
20.8392,4957.0446,8964.5028,8727.0206,7779.5957
