#        \hbar \omega(eV)           Re(1/eps)            -Im(1/eps)               Re(eps)                Im(eps)
     0.560000000000000E-01  -.133505368568705E+01  0.119955962794492E-02  -.749032944068523E+00  0.673013894001524E-03
     0.570000000000000E-01  -.133506252116261E+01  0.122100526492405E-02  -.749027965143917E+00  0.685036898661225E-03
     0.580000000000000E-01  -.133507151320036E+01  0.124245222835400E-02  -.749022898061020E+00  0.697060164629863E-03
     0.590000000000000E-01  -.133508066180989E+01  0.126390054160820E-02  -.749017742817947E+00  0.709083696514932E-03
     0.600000000000000E-01  -.133508996700095E+01  0.128535022806545E-02  -.749012499412782E+00  0.721107498925131E-03
     0.610000000000000E-01  -.133509942878348E+01  0.130680131110997E-02  -.749007167843579E+00  0.733131576470395E-03
     0.620000000000000E-01  -.133510904716757E+01  0.132825381413155E-02  -.749001748108353E+00  0.745155933761903E-03
     0.630000000000000E-01  -.133511882216349E+01  0.134970776052558E-02  -.748996240205090E+00  0.757180575412113E-03
     0.640000000000000E-01  -.133512875378165E+01  0.137116317369319E-02  -.748990644131748E+00  0.769205506034777E-03
     0.650000000000000E-01  -.133513884203267E+01  0.139262007704134E-02  -.748984959886239E+00  0.781230730244948E-03
     0.660000000000000E-01  -.133514908692730E+01  0.141407849398286E-02  -.748979187466457E+00  0.793256252659027E-03
     0.670000000000000E-01  -.133515948847649E+01  0.143553844793664E-02  -.748973326870251E+00  0.805282077894766E-03
     0.680000000000000E-01  -.133517004669132E+01  0.145699996232762E-02  -.748967378095445E+00  0.817308210571299E-03
     0.690000000000000E-01  -.133518076158307E+01  0.147846306058696E-02  -.748961341139825E+00  0.829334655309147E-03
     0.700000000000000E-01  -.133519163316317E+01  0.149992776615210E-02  -.748955216001151E+00  0.841361416730271E-03
     0.710000000000000E-01  -.133520266144325E+01  0.152139410246686E-02  -.748949002677130E+00  0.853388499458029E-03
     0.720000000000000E-01  -.133521384643505E+01  0.154286209298152E-02  -.748942701165470E+00  0.865415908117308E-03
     0.730000000000000E-01  -.133522518815053E+01  0.156433176115294E-02  -.748936311463814E+00  0.877443647334409E-03
     0.740000000000000E-01  -.133523668660179E+01  0.158580313044464E-02  -.748929833569793E+00  0.889471721737196E-03
     0.750000000000000E-01  -.133524834180111E+01  0.160727622432689E-02  -.748923267480990E+00  0.901500135955008E-03
     0.760000000000000E-01  -.133526015376096E+01  0.162875106627682E-02  -.748916613194961E+00  0.913528894618757E-03
     0.770000000000000E-01  -.133527212249391E+01  0.165022767977848E-02  -.748909870709240E+00  0.925558002360935E-03
     0.780000000000000E-01  -.133528424801277E+01  0.167170608832296E-02  -.748903040021309E+00  0.937587463815589E-03
     0.790000000000000E-01  -.133529653033048E+01  0.169318631540852E-02  -.748896121128625E+00  0.949617283618401E-03
     0.800000000000000E-01  -.133530896946017E+01  0.171466838454059E-02  -.748889114028614E+00  0.961647466406667E-03
     0.810000000000000E-01  -.133532156541512E+01  0.173615231923194E-02  -.748882018718674E+00  0.973678016819369E-03
     0.820000000000000E-01  -.133533431820878E+01  0.175763814300278E-02  -.748874835196153E+00  0.985708939497112E-03
     0.830000000000000E-01  -.133534722785479E+01  0.177912587938079E-02  -.748867563458378E+00  0.997740239082234E-03
     0.840000000000000E-01  -.133536029436694E+01  0.180061555190128E-02  -.748860203502642E+00  0.100977192021877E-02
     0.850000000000000E-01  -.133537351775918E+01  0.182210718410722E-02  -.748852755326206E+00  0.102180398755252E-02
     0.860000000000000E-01  -.133538689804565E+01  0.184360079954941E-02  -.748845218926294E+00  0.103383644573101E-02
     0.870000000000000E-01  -.133540043524065E+01  0.186509642178652E-02  -.748837594300100E+00  0.104586929940356E-02
     0.880000000000001E-01  -.133541412935864E+01  0.188659407438521E-02  -.748829881444778E+00  0.105790255322130E-02
     0.890000000000001E-01  -.133542798041427E+01  0.190809378092019E-02  -.748822080357455E+00  0.106993621183715E-02
     0.900000000000001E-01  -.133544198842233E+01  0.192959556497437E-02  -.748814191035231E+00  0.108197027990594E-02
     0.910000000000001E-01  -.133545615339780E+01  0.195109945013891E-02  -.748806213475161E+00  0.109400476208431E-02
     0.920000000000001E-01  -.133547047535584E+01  0.197260546001333E-02  -.748798147674265E+00  0.110603966303078E-02
     0.930000000000001E-01  -.133548495431174E+01  0.199411361820561E-02  -.748789993629546E+00  0.111807498740583E-02
     0.940000000000001E-01  -.133549959028100E+01  0.201562394833228E-02  -.748781751337957E+00  0.113011073987182E-02
     0.950000000000001E-01  -.133551438327926E+01  0.203713647401852E-02  -.748773420796426E+00  0.114214692509310E-02
     0.960000000000001E-01  -.133552933332235E+01  0.205865121889824E-02  -.748765002001845E+00  0.115418354773596E-02
     0.970000000000001E-01  -.133554444042625E+01  0.208016820661418E-02  -.748756494951080E+00  0.116622061246873E-02
     0.980000000000001E-01  -.133555970460713E+01  0.210168746081804E-02  -.748747899640947E+00  0.117825812396168E-02
     0.990000000000001E-01  -.133557512588132E+01  0.212320900517052E-02  -.748739216068247E+00  0.119029608688720E-02
     0.100000000000000E+00  -.133559070426531E+01  0.214473286334147E-02  -.748730444229737E+00  0.120233450591970E-02
     0.101000000000000E+00  -.133560643977577E+01  0.216625905900992E-02  -.748721584122145E+00  0.121437338573566E-02
     0.102000000000000E+00  -.133562233242955E+01  0.218778761586424E-02  -.748712635742159E+00  0.122641273101368E-02
     0.103000000000000E+00  -.133563838224364E+01  0.220931855760223E-02  -.748703599086443E+00  0.123845254643448E-02
     0.104000000000000E+00  -.133565458923523E+01  0.223085190793114E-02  -.748694474151622E+00  0.125049283668092E-02
     0.105000000000000E+00  -.133567095342167E+01  0.225238769056788E-02  -.748685260934286E+00  0.126253360643804E-02
     0.106000000000000E+00  -.133568747482045E+01  0.227392592923901E-02  -.748675959431004E+00  0.127457486039307E-02
     0.107000000000000E+00  -.133570415344929E+01  0.229546664768092E-02  -.748666569638290E+00  0.128661660323543E-02
     0.108000000000000E+00  -.133572098932605E+01  0.231700986963988E-02  -.748657091552637E+00  0.129865883965676E-02
     0.109000000000000E+00  -.133573798246873E+01  0.233855561887214E-02  -.748647525170512E+00  0.131070157435102E-02
     0.110000000000000E+00  -.133575513289554E+01  0.236010391914402E-02  -.748637870488337E+00  0.132274481201438E-02
     0.111000000000000E+00  -.133577244062486E+01  0.238165479423205E-02  -.748628127502502E+00  0.133478855734533E-02
     0.112000000000000E+00  -.133578990567521E+01  0.240320826792304E-02  -.748618296209362E+00  0.134683281504467E-02
     0.113000000000000E+00  -.133580752806532E+01  0.242476436401413E-02  -.748608376605247E+00  0.135887758981555E-02
     0.114000000000000E+00  -.133582530781405E+01  0.244632310631295E-02  -.748598368686447E+00  0.137092288636349E-02
     0.115000000000000E+00  -.133584324494045E+01  0.246788451863773E-02  -.748588272449218E+00  0.138296870939639E-02
     0.116000000000000E+00  -.133586133946376E+01  0.248944862481731E-02  -.748578087889785E+00  0.139501506362454E-02
     0.117000000000000E+00  -.133587959140336E+01  0.251101544869134E-02  -.748567815004337E+00  0.140706195376067E-02
     0.118000000000000E+00  -.133589800077881E+01  0.253258501411028E-02  -.748557453789031E+00  0.141910938451995E-02
     0.119000000000000E+00  -.133591656760984E+01  0.255415734493558E-02  -.748547004239993E+00  0.143115736062006E-02
     0.120000000000000E+00  -.133593529191636E+01  0.257573246503972E-02  -.748536466353308E+00  0.144320588678111E-02
     0.121000000000000E+00  -.133595417371845E+01  0.259731039830636E-02  -.748525840125030E+00  0.145525496772577E-02
     0.122000000000000E+00  -.133597321303634E+01  0.261889116863037E-02  -.748515125551186E+00  0.146730460817924E-02
     0.123000000000000E+00  -.133599240989047E+01  0.264047479991797E-02  -.748504322627761E+00  0.147935481286926E-02
     0.124000000000000E+00  -.133601176430141E+01  0.266206131608687E-02  -.748493431350713E+00  0.149140558652621E-02
     0.125000000000000E+00  -.133603127628993E+01  0.268365074106626E-02  -.748482451715956E+00  0.150345693388298E-02
     0.126000000000000E+00  -.133605094587696E+01  0.270524309879701E-02  -.748471383719381E+00  0.151550885967515E-02
     0.127000000000000E+00  -.133607077308360E+01  0.272683841323168E-02  -.748460227356840E+00  0.152756136864094E-02
     0.128000000000000E+00  -.133609075793113E+01  0.274843670833472E-02  -.748448982624152E+00  0.153961446552123E-02
