#                \hbar \omega(eV)     Re(chi) (e^2*a_0^2/eV) Im(chi) (e^2*a_0^2/eV)
     chi_1_1=  0.000000000000000E+00  -.326931307964427E-05  -.236754922008172E-14
     chi_1_1=  0.100000000000000E-02  -.326931318906774E-05  -.299796474099142E-10
     chi_1_1=  0.200000000000000E-02  -.326931351733831E-05  -.599569597862762E-10
     chi_1_1=  0.300000000000000E-02  -.326931406445634E-05  -.899343371940156E-10
     chi_1_1=  0.400000000000000E-02  -.326931483042238E-05  -.119911812149098E-09
     chi_1_1=  0.500000000000000E-02  -.326931581523727E-05  -.149889417167878E-09
     chi_1_1=  0.600000000000000E-02  -.326931701890206E-05  -.179867184767219E-09
     chi_1_1=  0.700000000000000E-02  -.326931844141801E-05  -.209845147464633E-09
     chi_1_1=  0.800000000000000E-02  -.326932008278666E-05  -.239823337778400E-09
     chi_1_1=  0.900000000000000E-02  -.326932194300974E-05  -.269801788227701E-09
     chi_1_1=  0.100000000000000E-01  -.326932402208925E-05  -.299780531332745E-09
     chi_1_1=  0.110000000000000E-01  -.326932632002739E-05  -.329759599614903E-09
     chi_1_1=  0.120000000000000E-01  -.326932883682661E-05  -.359739025596826E-09
     chi_1_1=  0.130000000000000E-01  -.326933157248959E-05  -.389718841802581E-09
     chi_1_1=  0.140000000000000E-01  -.326933452701925E-05  -.419699080757781E-09
     chi_1_1=  0.150000000000000E-01  -.326933770041873E-05  -.449679774989710E-09
     chi_1_1=  0.160000000000000E-01  -.326934109269142E-05  -.479660957027452E-09
     chi_1_1=  0.170000000000000E-01  -.326934470384092E-05  -.509642659402018E-09
     chi_1_1=  0.180000000000000E-01  -.326934853387109E-05  -.539624914646479E-09
     chi_1_1=  0.190000000000000E-01  -.326935258278600E-05  -.569607755296103E-09
     chi_1_1=  0.200000000000000E-01  -.326935685058997E-05  -.599591213888448E-09
     chi_1_1=  0.210000000000000E-01  -.326936133728754E-05  -.629575322963545E-09
     chi_1_1=  0.220000000000000E-01  -.326936604288349E-05  -.659560115063983E-09
     chi_1_1=  0.230000000000000E-01  -.326937096738284E-05  -.689545622735053E-09
     chi_1_1=  0.240000000000000E-01  -.326937611079083E-05  -.719531878524879E-09
     chi_1_1=  0.250000000000000E-01  -.326938147311295E-05  -.749518914984547E-09
     chi_1_1=  0.260000000000000E-01  -.326938705435489E-05  -.779506764668230E-09
     chi_1_1=  0.270000000000000E-01  -.326939285452262E-05  -.809495460133313E-09
     chi_1_1=  0.280000000000000E-01  -.326939887362230E-05  -.839485033940540E-09
     chi_1_1=  0.290000000000000E-01  -.326940511166037E-05  -.869475518654117E-09
     chi_1_1=  0.300000000000000E-01  -.326941156864345E-05  -.899466946841864E-09
     chi_1_1=  0.310000000000000E-01  -.326941824457843E-05  -.929459351075325E-09
     chi_1_1=  0.320000000000000E-01  -.326942513947243E-05  -.959452763929920E-09
     chi_1_1=  0.330000000000000E-01  -.326943225333278E-05  -.989447217985045E-09
     chi_1_1=  0.340000000000000E-01  -.326943958616708E-05  -.101944274582423E-08
     chi_1_1=  0.350000000000000E-01  -.326944713798313E-05  -.104943938003524E-08
     chi_1_1=  0.360000000000000E-01  -.326945490878898E-05  -.107943715321023E-08
     chi_1_1=  0.370000000000000E-01  -.326946289859292E-05  -.110943609794588E-08
     chi_1_1=  0.380000000000000E-01  -.326947110740347E-05  -.113943624684346E-08
     chi_1_1=  0.390000000000000E-01  -.326947953522935E-05  -.116943763250906E-08
     chi_1_1=  0.400000000000000E-01  -.326948818207956E-05  -.119944028755363E-08
     chi_1_1=  0.410000000000000E-01  -.326949704796332E-05  -.122944424459316E-08
     chi_1_1=  0.420000000000000E-01  -.326950613289009E-05  -.125944953624879E-08
     chi_1_1=  0.430000000000000E-01  -.326951543686953E-05  -.128945619514695E-08
     chi_1_1=  0.440000000000000E-01  -.326952495991157E-05  -.131946425391949E-08
     chi_1_1=  0.450000000000000E-01  -.326953470202637E-05  -.134947374520378E-08
     chi_1_1=  0.460000000000000E-01  -.326954466322428E-05  -.137948470164288E-08
     chi_1_1=  0.470000000000000E-01  -.326955484351597E-05  -.140949715588566E-08
     chi_1_1=  0.480000000000000E-01  -.326956524291226E-05  -.143951114058691E-08
     chi_1_1=  0.490000000000000E-01  -.326957586142425E-05  -.146952668840749E-08
     chi_1_1=  0.500000000000000E-01  -.326958669906327E-05  -.149954383201444E-08
     chi_1_1=  0.510000000000000E-01  -.326959775584084E-05  -.152956260408114E-08
     chi_1_1=  0.520000000000000E-01  -.326960903176879E-05  -.155958303728741E-08
     chi_1_1=  0.530000000000000E-01  -.326962052685913E-05  -.158960516431965E-08
     chi_1_1=  0.540000000000000E-01  -.326963224112412E-05  -.161962901787098E-08
     chi_1_1=  0.550000000000000E-01  -.326964417457624E-05  -.164965463064136E-08
     chi_1_1=  0.560000000000000E-01  -.326965632722825E-05  -.167968203533773E-08
     chi_1_1=  0.570000000000000E-01  -.326966869909309E-05  -.170971126467410E-08
     chi_1_1=  0.580000000000000E-01  -.326968129018395E-05  -.173974235137177E-08
     chi_1_1=  0.590000000000000E-01  -.326969410051426E-05  -.176977532815934E-08
     chi_1_1=  0.600000000000000E-01  -.326970713009771E-05  -.179981022777295E-08
     chi_1_1=  0.610000000000000E-01  -.326972037894817E-05  -.182984708295634E-08
     chi_1_1=  0.620000000000000E-01  -.326973384707980E-05  -.185988592646102E-08
     chi_1_1=  0.630000000000000E-01  -.326974753450697E-05  -.188992679104638E-08
     chi_1_1=  0.640000000000000E-01  -.326976144124426E-05  -.191996970947981E-08
