Temperature,Order_Parameter,Free_Energy
300.0,2.0,-720.0
301.0033444816053,2.0,-715.9866220735787
302.0066889632107,2.0,-711.9732441471572
303.01003344481603,2.0,-707.9598662207359
304.0133779264214,2.0,-703.9464882943143
305.01672240802674,2.0,-699.933110367893
306.0200668896321,2.0,-695.9197324414715
307.02341137123744,2.0,-691.9063545150502
308.0267558528428,2.0,-687.8929765886287
309.03010033444815,2.0,-683.8795986622074
310.03344481605353,2.0,-679.8662207357859
311.03678929765886,2.0,-675.8528428093646
312.04013377926424,2.0,-671.839464882943
313.04347826086956,2.0,-667.8260869565217
314.0468227424749,2.0,-663.8127090301005
315.05016722408027,2.0,-659.7993311036789
316.0535117056856,2.0,-655.7859531772576
317.056856187291,2.0,-651.7725752508361
318.0602006688963,2.0,-647.7591973244148
319.0635451505017,2.0,-643.7458193979933
320.066889632107,2.0,-639.732441471572
321.0702341137124,2.0,-635.7190635451504
322.0735785953177,2.0,-631.7056856187291
323.0769230769231,2.0,-627.6923076923076
324.0802675585284,2.0,-623.6789297658863
325.0836120401338,2.0,-619.6655518394648
326.0869565217391,2.0,-615.6521739130435
327.0903010033445,2.0,-611.638795986622
328.09364548494983,2.0,-607.6254180602007
329.09698996655516,2.0,-603.6120401337794
330.10033444816054,2.0,-599.5986622073578
331.10367892976586,2.0,-595.5852842809365
332.10702341137124,2.0,-591.571906354515
333.11036789297657,2.0,-587.5585284280937
334.11371237458195,2.0,-583.5451505016722
335.1170568561873,2.0,-579.5317725752509
336.12040133779266,2.0,-575.5183946488294
337.123745819398,2.0,-571.5050167224081
338.12709030100336,2.0,-567.4916387959865
339.1304347826087,2.0,-563.4782608695652
340.13377926421407,2.0,-559.4648829431437
341.1371237458194,2.0,-555.4515050167224
342.1404682274248,2.0,-551.4381270903009
343.1438127090301,2.0,-547.4247491638796
344.1471571906354,2.0,-543.4113712374583
345.1505016722408,2.0,-539.3979933110368
346.15384615384613,2.0,-535.3846153846155
347.1571906354515,2.0,-531.371237458194
348.16053511705684,2.0,-527.3578595317726
349.1638795986622,2.0,-523.3444816053511
350.16722408026754,2.0,-519.3311036789298
351.1705685618729,2.0,-515.3177257525083
352.17391304347825,2.0,-511.304347826087
353.17725752508363,2.0,-507.29096989966547
354.18060200668896,2.0,-503.27759197324417
355.18394648829434,2.0,-499.26421404682264
356.18729096989966,2.0,-495.25083612040135
357.19063545150505,2.0,-491.2374581939798
358.19397993311037,2.0,-487.2240802675585
359.1973244147157,2.0,-483.2107023411372
360.2006688963211,2.0,-479.1973244147157
361.2040133779264,2.0,-475.1839464882944
362.2073578595318,2.0,-471.17056856187287
363.2107023411371,2.0,-467.15719063545157
364.2140468227425,2.0,-463.14381270903004
365.2173913043478,2.0,-459.13043478260875
366.2207357859532,2.0,-455.1170568561872
367.2240802675585,2.0,-451.1036789297659
368.2274247491639,2.0,-447.0903010033444
369.2307692307692,2.0,-443.0769230769231
370.23411371237455,2.0,-439.0635451505018
371.23745819397993,2.0,-435.05016722408027
372.2408026755853,2.0,-431.03678929765874
373.24414715719064,2.0,-427.02341137123744
374.24749163879596,2.0,-423.01003344481614
375.25083612040135,2.0,-418.9966555183946
376.25418060200667,2.0,-414.9832775919733
377.25752508361205,2.0,-410.9698996655518
378.2608695652174,2.0,-406.9565217391305
379.26421404682276,2.0,-402.94314381270897
380.2675585284281,2.0,-398.92976588628767
381.27090301003346,2.0,-394.91638795986614
382.2742474916388,2.0,-390.90301003344484
383.27759197324417,2.0,-386.8896321070233
384.2809364548495,2.0,-382.876254180602
385.2842809364548,2.0,-378.8628762541807
386.2876254180602,2.0,-374.8494983277592
387.2909698996656,2.0,-370.83612040133767
388.2943143812709,2.0,-366.82274247491637
389.29765886287623,2.0,-362.80936454849507
390.3010033444816,2.0,-358.79598662207354
391.30434782608694,2.0,-354.78260869565224
392.3076923076923,2.0,-350.7692307692307
393.31103678929765,2.0,-346.7558528428094
394.314381270903,2.0,-342.7424749163879
395.31772575250835,2.0,-338.7290969899666
396.3210702341137,2.0,-334.7157190635453
397.32441471571906,2.0,-330.70234113712377
398.32775919732444,2.0,-326.68896321070224
399.33110367892976,2.0,-322.67558528428094
400.3344481605351,2.0,-318.66220735785964
401.33779264214047,2.0,-314.6488294314381
402.34113712374585,2.0,-310.6354515050166
